"0"
"-22,691682545183916"
"-44,26839149994077"
"-64,77645643762078"
"-84,2599526803229"
"-102,76081412379708"
"-120,31894055564092"
"-136,9722997343899"
"-152,75702448406608"
"-167,70750504630612"
"-181,85647692040843"
"-195,23510441038795"
"-207,87306008744503"
"-219,79860036610222"
"-231,0386373825853"
"-241,61880735482623"
"-251,56353559473894"
"-260,8960983350787"
"-269,63868152528903"
"-277,81243674322394"
"-285,43753436246084"
"-292,5332141081109"
"-299,1178331275714"
"-305,2089116964792"
"-310,8231766742922"
"-315,9766028183262"
"-320,68445205979265"
"-324,9613108403298"
"-328,8211256027225"
"-332,27723652495666"
"-335,34240958239934"
"-338,02886701877105"
"-340,34831630266933"
"-342,31197764264215"
"-343,9306101302746"
"-345,2145365773779"
"-346,1736671101415"
"-346,81752158006714"
"-347,1552508485933"
"-347,195656999554"
"-346,94721253097987"
"-346,4180785752672"
"-345,6161221943397"
"-344,5489327941841"
"-343,22383770097576"
"-341,64791693897723"
"-339,82801724843193"
"-337,7707653798358"
"-335,4825806992096"
"-332,96968713730575"
"-330,23812451410845"
"-327,29375926846694"
"-324,14229462124877"
"-320,78928019904936"
"-317,2401211441777"
"-313,5000867354049"
"-309,57431854277877"
"-305,4678381386934"
"-301,18555438633496"
"-296,73227032560385"
"-292,1126896756589"
"-287,33142297231325"
"-282,39299335762723"
"-277,301842038219"
"-272,0623334280489"
"-266,6787599906369"
"-261,1553467949964"
"-255,49625579888277"
"-249,70558987229708"
"-243,78739657357994"
"-237,74567168985243"
"-231,58436255299443"
"-225,30737114183023"
"-218,91855698069037"
"-212,4217398440377"
"-205,82070227638735"
"-199,11919193633696"
"-192,32092377308368"
"-185,42958204344495"
"-178,44882217700183"
"-171,38227249665465"
"-164,23353580151866"
"-157,006190818797"
"-149,70379353093495"
"-142,32987838409508"
"-134,88795938370367"
"-127,38153108256006"
"-119,81406946675338"
"-112,18903274439708"
"-104,50986204195965"
"-96,77998201276091"
"-89,0028013619974"
"-81,18171329247343"
"-73,3200958750142"
"-65,42131234737803"
"-57,48871134531464"
"-49,525627069244365"
"-41,5353793899028"
"-33,52127389613679"
"-25,486601887903134"
"-17,434640317393132"
"-9,368651681090796"
"-1,291883865428872"
"6,7924300513714115"
"14,881072038827597"
"22,970839392727385"
"31,05854505039747"
"39,141017940546135"
"47,21510336559504"
"55,27766341450297"
"63,325577404158594"
"71,35574234751402"
"79,36507344667348"
"87,35050460924936"
"95,30898898634928"
"103,23749953061963"
"111,13302957283747"
"118,9925934156064"
"126,81322694274343"
"134,59198824301814"
"142,32595824695534"
"150,01224137543727"
"157,64796619891933"
"165,23028610609583"
"172,75637998088393"
"180,22345288667157"
"187,6287367567843"
"194,96949109014793"
"202,2430036512119"
"209,44659117318463"
"216,5776000636655"
"223,63340711182968"
"230,6114201963145"
"237,5090789929783"
"244,32385568177824"
"251,05325565198416"
"257,6948182050006"
"264,24611725410125"
"270,70476202037116"
"277,0683977242039"
"283,33470627172073"
"289,5014069354745"
"295,56625702885015"
"301,5270525735856"
"307,3816289598417"
"313,12786159828164"
"318,7636665636502"
"324,28700122932014"
"329,6958648923338"
"334,9882993884684"
"340,16238969685014"
"345,21626453368424"
"350,1480969346828"
"354,9561048257583"
"359,63855158159174"
"364,19374657170187"
"368,6200456936249"
"372,9158518928522"
"377,07961566920267"
"381,1098355692484"
"385,0050586645324"
"388,7638810152191"
"392,38494811892014"
"395,8669553443767"
"399,20864834976516"
"402,4088234853132"
"405,4663281800335"
"408,3800613122821"
"411,14897356395574"
"413,77206775807053"
"416,248399179558"
"418,57707587902684"
"420,75725895936074"
"422,7881628449235"
"424,6690555332433"
"426,39925882898876"
"427,9781485601079"
"429,40515477597546"
"430,6797619274446"
"431,80150902864057"
"432,7699898004315"
"433,584852795447"
"434,24580150455483"
"434,7525944447143"
"435,105045228147"
"435,30302261271936"
"435,3464505335249"
"435,23530811559124"
"434,9696296676724"
"434,54950465709885"
"433,97507766567526"
"433,2465483265745"
"432,36417124226466"
"431,32825588344235"
"430,13916646898633"
"428,797321826955"
"427,3031952366456"
"425,65731425176205"
"423,86026050470815"
"421,91266949209"
